Country Name,Country Code,Indicator Name,Indicator Code,y2010
Finland,FIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.87073171
France,FRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.36829268
French Polynesia,PYF,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.07687805
Gabon,GAB,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.28668293
Gambia The,GMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.16002439
Georgia,GEO,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.32734146
Germany,DEU,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.98780488
Ghana,GHA,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.83726829
Greece,GRC,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.38780488
Greenland,GRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Grenada,GRD,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.66043902
Guam,GUM,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.99426829
Guatemala,GTM,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.82541463
Guinea,GIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.63858537
Guinea-Bissau,GNB,Life expectancy at birth total (years),SP.DYN.LE00.IN,47.70065854
Guyana,GUY,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.54914634
Haiti,HTI,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.763
Heavily indebted poor countries (HIPC),HPC,Life expectancy at birth total (years),SP.DYN.LE00.IN,55.43124818
High income,HIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.76283565
High income: nonOECD,NOC,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.93583208
High income: OECD,OEC,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.0176795
Honduras,HND,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.82592683
Hong Kong SAR China,HKG,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.87804878
Hungary,HUN,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.20731707
Iceland,ISL,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.45121951
India,IND,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.13134146
Indonesia,IDN,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.88965854
Iran Islamic Rep.,IRN,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.75185366
Iraq,IRQ,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.48604878
Ireland,IRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.29195122
Isle of Man,IMY,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Israel,ISR,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.50487805
Italy,ITA,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.73658537
Jamaica,JAM,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.84712195
Japan,JPN,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.93268293
Jordan,JOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.28965854
Kazakhstan,KAZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.29536585
Kenya,KEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,56.49707317
Kiribati,KIR,Life expectancy at birth total (years),SP.DYN.LE00.IN,NA
Korea Dem. Rep.,PRK,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.53214634
Korea Rep.,KOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.76195122
Kosovo,KSV,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.88439024
Kuwait,KWT,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.60473171
Kyrgyz Republic,KGZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.36846341
